director,link,director_url,location,gender
Abbas Kiarostami,https://www.imdb.com/search/name/?name=Abbas%20Kiarostami,/name/nm0452102/?ref_=sr_t_1,"Tehran, Iran",Male
Abdellatif Kechiche,https://www.imdb.com/search/name/?name=Abdellatif%20Kechiche,/name/nm0444244/?ref_=sr_t_1,"Tunis, Tunisia",Male
Abderrahmane Sissako,https://www.imdb.com/search/name/?name=Abderrahmane%20Sissako,/name/nm0803066/?ref_=sr_t_1,"Kiffa, Mauritania",Male
Adam Curtis,https://www.imdb.com/search/name/?name=Adam%20Curtis,/name/nm0193231/?ref_=sr_t_1,"Dartford, Kent, England, UK",Male
Adam McKay,https://www.imdb.com/search/name/?name=Adam%20McKay,/name/nm0570912/?ref_=sr_t_1,"Philadelphia, Pennsylvania, USA",Male
Agnieszka Holland,https://www.imdb.com/search/name/?name=Agnieszka%20Holland,/name/nm0002140/?ref_=sr_t_1,"Warsaw, Mazowieckie, Poland",Female
Agnès Jaoui,https://www.imdb.com/search/name/?name=Agnès%20Jaoui,/name/nm0418450/?ref_=sr_t_1,"Antony, Hauts-de-Seine, France",Female
Agnès Varda,https://www.imdb.com/search/name/?name=Agnès%20Varda,/name/nm0889513/?ref_=sr_t_1,"Ixelles, Belgium",Female
Aki Kaurismäki,https://www.imdb.com/search/name/?name=Aki%20Kaurismäki,/name/nm0442454/?ref_=sr_t_1,"Orimattila, Finland",Unknown
Alain Cavalier,https://www.imdb.com/search/name/?name=Alain%20Cavalier,/name/nm0146760/?ref_=sr_t_1,"Vendôme, Loir-et-Cher, France",Male
Alain Gomis,https://www.imdb.com/search/name/?name=Alain%20Gomis,/name/nm0327120/?ref_=sr_t_1,,Male
Alain Guiraudie,https://www.imdb.com/search/name/?name=Alain%20Guiraudie,/name/nm0347492/?ref_=sr_t_1,"Villefranche-de-Rouergue, Aveyron, France",Male
Alain Resnais,https://www.imdb.com/search/name/?name=Alain%20Resnais,/name/nm0720297/?ref_=sr_t_1,"Vannes, Morbihan, France",Male
Alan Mak,https://www.imdb.com/search/name/?name=Alan%20Mak,/name/nm0538320/?ref_=sr_t_1,Hong Kong,Male
Albert Serra,https://www.imdb.com/search/name/?name=Albert%20Serra,/name/nm2247200/?ref_=sr_t_1,,Male
Alejandro González Iñárritu,https://www.imdb.com/search/name/?name=Alejandro%20González%20Iñárritu,https://slyb.app.link/vtz1COZnXAb,,Unknown
Aleksandr Sokurov,https://www.imdb.com/search/name/?name=Aleksandr%20Sokurov,/name/nm0812546/?ref_=sr_t_1,"Podorvikha, Irkutskaya oblast, RSFSR, USSR [now Russia]",Male
Aleksey Fedorchenko,https://www.imdb.com/search/name/?name=Aleksey%20Fedorchenko,/name/nm1922735/?ref_=sr_t_1,"Sol-Iletsk, Sol-Iletskiy rayon, Orenburgskaya oblast, RSFSR, USSR [now Russia]",Male
Aleksey German,https://www.imdb.com/search/name/?name=Aleksey%20German,/name/nm0314516/?ref_=sr_t_1,"Leningrad, Russian SFSR, USSR [now St. Petersburg, Russia]",Male
Alex Garland,https://www.imdb.com/search/name/?name=Alex%20Garland,/name/nm0307497/?ref_=sr_t_1,"London, England, UK",Male
Alexander Payne,https://www.imdb.com/search/name/?name=Alexander%20Payne,/name/nm0668247/?ref_=sr_t_1,"Omaha, Nebraska, USA",Male
Alfonso Cuarón,https://www.imdb.com/search/name/?name=Alfonso%20Cuarón,/name/nm0190859/?ref_=sr_t_1,"Mexico City, Distrito Federal, Mexico",Male
Amma Asante,https://www.imdb.com/search/name/?name=Amma%20Asante,/name/nm1392994/?ref_=sr_t_1,"Streatham, London, England, UK",Unknown
Ana Lily Amirpour,https://www.imdb.com/search/name/?name=Ana%20Lily%20Amirpour,/name/nm3235877/?ref_=sr_t_1,,Female
Andrea Arnold,https://www.imdb.com/search/name/?name=Andrea%20Arnold,/name/nm0036349/?ref_=sr_t_1,"Dartford, Kent, England, UK",Female
Andrew Adamson,https://www.imdb.com/search/name/?name=Andrew%20Adamson,/name/nm0011470/?ref_=sr_t_1,"Auckland, New Zealand",Male
Andrew Dominik,https://www.imdb.com/search/name/?name=Andrew%20Dominik,/name/nm0231596/?ref_=sr_t_1,"Wellington, New Zealand",Male
Andrew Dosunmu,https://www.imdb.com/search/name/?name=Andrew%20Dosunmu,/name/nm0234506/?ref_=sr_t_1,,Unknown
Andrew Haigh,https://www.imdb.com/search/name/?name=Andrew%20Haigh,/name/nm0354091/?ref_=sr_t_1,,Unknown
Andrew Lau,https://www.imdb.com/search/name/?name=Andrew%20Lau,/name/nm4255726/?ref_=sr_t_1,,Unknown
Andrew Stanton,https://www.imdb.com/search/name/?name=Andrew%20Stanton,/name/nm0004056/?ref_=sr_t_1,"Boston, Massachusetts, USA",Male
